iter	Passed	Remaining
0	1	136
1	2	121
2	3	114
3	4	114
4	6	115
5	7	112
6	8	107
7	8	102
8	9	100
9	10	98
10	12	99
11	13	98
12	14	98
13	15	97
14	17	96
15	18	95
16	19	94
17	20	93
18	21	93
19	22	91
20	24	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	83
26	30	82
27	31	80
28	32	79
29	33	78
30	34	77
31	36	77
32	37	75
33	38	74
34	39	73
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	47	60
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	64	44
59	65	43
60	66	42
61	67	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	110	0
